detection,sampler,samplecode,vintage,name,open_date,sampled_date,added_to_cellartracker,notes,size
raw,jonathan,62,2020,spinifex bete noir,,16/3/2023,y,,750
raw,jonathan,63,2021,domaine seguinot-bordet chablis,,16/3/2023,y,,750
raw,jonathan,64,2019,deviation road loftia,,16/3/2023,y,,750
raw,jonathan,65,2020,le macchiole bolgheri rosso,,20/3/2023,y,,750
raw,jonathan,66,2021,criante c21 cataratto,,20/3/2023,y,,750
raw,jonathan,67,2019,wynns coonawarra estate shiraz,,21/3/2023,y,,750
raw,jonathan,68,2014,shaw + smith shiraz,21/3/2023,23/3/2023,y,,750
raw,jonathan,69,2021,domenica chardonnay,23/3/2023,23/3/2023,y,,750
raw,jonathan,70,2020,hochkirch pinot noir,23/3/2023,23/3/2023,y,,750
raw,jonathan,71,2020,cascina delle rose dolcetto d’alba ‘a elizabeth’,23/3/2023,23/3/2023,y,,750
raw,jonathan,72,2021,de bortoli sacred hill cabernet merlot,22/2/2023,,y,"ETL is currently combining this sample with a HALO run sample, resulting in a jumble of data. Its not worth it to try and fix it at this point, has been dropped.",750
raw,jonathan,73,2021,stoney rise pinot noir,21/2/2023,22/2/2023,y,,750
raw,jonathan,74,2018,crawford river cabernets,21/2/2023,22/2/2023,y,,750
raw,jonathan,75,2020,matias riccitelli hey malbec,,,y,,750
raw,jonathan,76,2021,koerner wine nielluccio sangiovese,,,y,,750
raw,jonathan,77,,,,,,,750
raw,jonathan,78,,,,,,,750
raw,jonathan,79,2021,babo chianti,1/4/2023,4/4/2023,y,,750
raw,jonathan,80,2018,crawford river cabernets,1/4/2023,4/4/2023,y,,750
raw,jonathan,81,2020,joseph faiveley bourgogne pinot noir,1/4/2023,4/4/2023,y,,750
raw,jonathan,82,2020,yangarra shiraz,1/4/2023,4/4/2023,y,,750
raw,jonathan,83,2021,pithon-paille 'grololo',3/4/2023,4/4/2023,y,,750
raw,jonathan,84,2021,john duval concilio shiraz,3/4/2023,4/4/2023,y,,750
raw,jonathan,85,2021,stoney rise pinot noir,1/4/2023,4/4/2023,y,,750
raw,jonathan,86,2021,le juice fleurie gamay,1/4/2023,4/4/2023,y,,750
raw,jonathan,87,2021,murdoch hill 'phaeton' pinot noir,1/4/2023,4/4/2023,y,,750
raw,jonathan,88,2017,andrea oberto barolo,1/4/2023,4/4/2023,y,,750
raw,jonathan,89,2015,campo viejo gran reserva,1/4/2023,4/4/2023,y,,750
raw,jonathan,90,2022,alkina 'kin' grenache,1/4/2023,4/4/2023,y,,750
raw,jonathan,91,2019,"2019 domaine des ardoisières argile rouge
gamay",30/3/2023,4/4/2023,y,,750
raw,jonathan,92,2021,matias riccitelli malbec hey malbec!,1/4/2023,4/4/2023,y,,750
raw,jonathan,93,2021,st hugo gsm,28/3/2023,4/4/2023,y,,750
raw,jonathan,94,2021,le macchiole bolgheri rosso,24/3/2023,4/4/2023,y,,750
raw,jonathan,95,2022,cirillo grenache 1850's old vine,25/3/2023,4/4/2023,y,,750
raw,jonathan,96,2017,leogate estate merlot miracle on the wire organic,10/4/2023,13/4/2023,y,,750
raw,jonathan,97,2018,d'arenberg the wild pixie,7/4/2023,13/4/2023,y,,750
raw,jonathan,98,2020,barone ricasoli chianti classico rocca di montegrossi,4/4/2023,13/4/2023,y,Was run on an incorrect method: halo150x4_6c18-h2o-meoh-2_1.m. Appears to be a mistake when setting up the sequence. Currently dropped from library,750
raw,jonathan,99,2018,domaine des lises crozes-hermitage,4/4/2023,13/4/2023,y,,750
raw,jonathan,100,2021,chatto wines pinot noir mania,15/4/2023,8/5/2023,y,,750
raw,jonathan,101,2021,Tapanappa Pinot Noir Foggy Hill Vineyard,15/4/2023,8/5/2023,y,,750
raw,jonathan,103,2021,yering station pinot noir,,,y,,750
raw,jonathan,104,2019,kendall-jackson chardonnay vintner's reserve,,,y,,750
raw,jonathan,105,2021,chris ringland shiraz,,,y,,750
raw,jonathan,106,2020,Deep Woods Estate Shiraz et al,7/5/2023,8/5/2023,y,,750
raw,jonathan,107,2021,MMAD Vineyard Chenin Blanc Blewitt Springs,21/4/2023,8/5/2023,y,,750
raw,jonathan,108,2020,Girolamo Russo Etna 'a Rina Rosso,20/4/2023,8/5/2023,y,,750
raw,jonathan,109,2019,rr (?),21/4/2023,8/5/2023,n,,750
raw,jonathan,110,2015,Clos du Marquis,21/4/2023,8/5/2023,y,,750
raw,jonathan,111,2022,Clonakilla Shiraz O'Riada,20/4/2023,8/5/2023,y,,750
raw,jonathan,112,null,clembush,5/5/2023,8/5/2023,n,,750
raw,jonathan,113,null,leflaive macon-verze blanc le monte,20/4/2023,8/5/2023,n,,750
raw,jonathan,114,2019,Bodega Catena Zapata Malbec Catena High Mountain Vines,30/4/2023,8/5/2023,y,,750
raw,jonathan,115,2022,bleeding heart shiraz,4/5/2023,8/5/2023,y,,750
raw,jonathan,sigurdcb,2022,sigurd chenin blanc,6/5/2023,8/5/2023,y,"2023-06-27 13:38:04 - definitely run, but doesnt correspond to chemstation metadata, rest of sequence is present, but the 116 there was run 10 days later.",750
raw,jonathan,a0101,2021,yering station pinot noir,,,y,,750
raw,jonathan,a0201,2019,kendall-jackson chardonnay vintner's reserve,,,y,,750
raw,jonathan,a0301,2021,chris ringland shiraz,,,y,,750
cuprac,jonathan,ca0101,2021,yering station pinot noir,,,y,,750
cuprac,jonathan,ca0201,2019,kendall-jackson chardonnay vintner's reserve,,,y,,750
cuprac,jonathan,ca0301,2021,chris ringland shiraz,,,y,,750
