Size,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,Type,Color,Category,Varietal
750ml,2021,John Duval Wines Shiraz Concilio,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,John Duval Wines,Red,Red,Dry,Shiraz
750ml,2021,Joshua Cooper Cabernet Sauvignon Landsborough Shay's Flat,"Australia, Victoria, Western Victoria, Pyrenees",Australia,Victoria,Western Victoria,Pyrenees,Joshua Cooper,Red,Red,Dry,Cabernet Sauvignon
750ml,2021,Le Juice Fleurie Fleurie Gamay,"France, Burgundy, Beaujolais, Fleurie",France,Burgundy,Beaujolais,Fleurie,Le Juice,Red,Red,Dry,Gamay
750ml,2019,Kendall-Jackson Chardonnay Vintner's Reserve,"USA, California",USA,California,Unknown,California,Kendall-Jackson,White,White,Dry,Chardonnay
750ml,2021,Koerner Nielluccio Sangiovese Vivian Vineyard,"Australia, South Australia, Mount Lofty Ranges, Clare Valley",Australia,South Australia,Mount Lofty Ranges,Clare Valley,Koerner,Red,Red,Dry,Red Blend
750ml,2019,Kuenhof (Peter Pliger) Riesling Kaiton,"Italy, Trentino-Alto Adige, Alto Adige, Valle Isarco / Eisacktaler",Italy,Trentino-Alto Adige,Alto Adige,Valle Isarco / Eisacktaler,Kuenhof (Peter Pliger),White,White,Dry,Riesling
750ml,2020,Leeuwin Estate Cabernet Sauvignon Prelude,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Leeuwin Estate,Red,Red,Dry,Cabernet Sauvignon
750ml,2021,Leeuwin Estate Chardonnay Prelude,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Leeuwin Estate,White,White,Dry,Chardonnay
750ml,2020,Leeuwin Estate Shiraz Art Series,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Leeuwin Estate,Red,Red,Dry,Shiraz
750ml,2017,Leogate Estate Merlot Miracle on the Wire Organic,"Australia, New South Wales, Central Ranges, Mudgee",Australia,New South Wales,Central Ranges,Mudgee,Leogate Estate,Red,Red,Dry,Merlot
750ml,2022,Lethbridge Wines Pinot Gris,"Australia, Victoria, Port Phillip, Geelong",Australia,Victoria,Port Phillip,Geelong,Lethbridge Wines,White,White,Dry,Pinot Gris
750ml,2021,Lethbridge Wines Pinot Noir,"Australia, Victoria, Port Phillip, Geelong",Australia,Victoria,Port Phillip,Geelong,Lethbridge Wines,Red,Red,Dry,Pinot Noir
750ml,2018,Domaine des Lises Crozes-Hermitage,"France, Rhône, Northern Rhône, Crozes-Hermitage",France,Rhône,Northern Rhône,Crozes-Hermitage,Domaine des Lises,Red,Red,Dry,Syrah
750ml,2020,Le Macchiole Bolgheri Rosso,"Italy, Tuscany, Bolgheri",Italy,Tuscany,Bolgheri,Bolgheri,Le Macchiole,Red,Red,Dry,SuperTuscan Blend
750ml,2021,Le Macchiole Bolgheri Rosso,"Italy, Tuscany, Bolgheri",Italy,Tuscany,Bolgheri,Bolgheri,Le Macchiole,Red,Red,Dry,SuperTuscan Blend
750ml,2021,Mamete Prevostini Monrose,"Italy, Lombardia, Alpi Retiche",Italy,Lombardia,Unknown,Alpi Retiche,Mamete Prevostini,Rosé,Rosé,Dry,Nebbiolo
750ml,2015,Clos du Marquis,"France, Bordeaux, Médoc, St. Julien",France,Bordeaux,Médoc,St. Julien,Clos du Marquis,Red,Red,Dry,Red Bordeaux Blend
750ml,2020,Matías Riccitelli Malbec Hey Malbec!,"Argentina, Mendoza, Lujan de Cuyo",Argentina,Mendoza,Lujan de Cuyo,Unknown,Matías Riccitelli,Red,Red,Dry,Malbec
750ml,2021,Matías Riccitelli Malbec Hey Malbec!,"Argentina, Mendoza, Lujan de Cuyo",Argentina,Mendoza,Lujan de Cuyo,Unknown,Matías Riccitelli,Red,Red,Dry,Malbec
750ml,2021,MMAD Vineyard Chenin Blanc Blewitt Springs,"Australia, South Australia, Fleurieu, McLaren Vale",Australia,South Australia,Fleurieu,McLaren Vale,MMAD Vineyard,White,White,Dry,Chenin Blanc
750ml,2019,Mauro Molino Dolcetto d'Alba,"Italy, Piedmont, Alba, Dolcetto d'Alba",Italy,Piedmont,Alba,Dolcetto d'Alba,Mauro Molino,Red,Red,Dry,Dolcetto
750ml,2022,Mount Horrocks Riesling Cordon Cut,"Australia, South Australia, Mount Lofty Ranges, Clare Valley",Australia,South Australia,Mount Lofty Ranges,Clare Valley,Mount Horrocks,White - Sweet/Dessert,White,Sweet/Dessert,Riesling
750ml,2019,Mount Pleasant Wines Mount Henry Shiraz Pinot Noir,"Australia, New South Wales, Hunter Valley",Australia,New South Wales,Hunter Valley,Hunter Valley,Mount Pleasant Wines,Red,Red,Dry,Shiraz Blend
750ml,2022,Mr. Barval Nebbia,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Mr. Barval,Red,Red,Dry,Nebbiolo Blend
750ml,2020,Mt. Difficulty Pinot Noir Bannockburn,"New Zealand, South Island, Otago, Bannockburn",New Zealand,South Island,Otago,Bannockburn,Mt. Difficulty,Red,Red,Dry,Pinot Noir
750ml,1001,Mumm Tasmania Brut Prestige,"Australia, Tasmania",Australia,Tasmania,Unknown,Unknown,Mumm,White - Sparkling,White,Sparkling,Pinot Blend
750ml,2021,Murdoch Hill Pinot Noir The Phaeton,"Australia, South Australia, Mount Lofty Ranges, Piccadilly Valley",Australia,South Australia,Mount Lofty Ranges,Piccadilly Valley,Murdoch Hill,Red,Red,Dry,Pinot Noir
750ml,2021,Nick Spencer Chardonnay,"Australia, New South Wales, Southern New South Wales, Tumbarumba",Australia,New South Wales,Southern New South Wales,Tumbarumba,Nick Spencer,White,White,Dry,Chardonnay
750ml,2021,Nino Barraco Fior di Bianco,"Italy, Sicily, Terre Siciliane",Italy,Sicily,Unknown,Terre Siciliane,Nino Barraco,White,White,Dry,White Blend
750ml,2017,Andrea Oberto Barolo del comune di La Morra,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Andrea Oberto,Red,Red,Dry,Nebbiolo
750ml,2021,Arianna Occhipinti SP68 Rosso,"Italy, Sicily, Terre Siciliane",Italy,Sicily,Unknown,Terre Siciliane,Arianna Occhipinti,Red,Red,Dry,Red Blend
750ml,2020,Orlando Grenache Cellar 13,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Orlando,Red,Red,Dry,Grenache
750ml,2019,Orlando Riesling Steingarten,"Australia, South Australia, Barossa, Eden Valley",Australia,South Australia,Barossa,Eden Valley,Orlando,White,White,Dry,Riesling
750ml,2021,Domaine Oudin Chablis,"France, Burgundy, Chablis",France,Burgundy,Chablis,Chablis,Domaine Oudin,White,White,Dry,Chardonnay
750ml,2017,S.C. Pannell Tempranillo Dead End,"Australia, South Australia, Fleurieu, McLaren Vale",Australia,South Australia,Fleurieu,McLaren Vale,S.C. Pannell,Red,Red,Dry,Tempranillo
750ml,2021,Patrick Sullivan Jumping Juice Half Full,Australia,Australia,Australia,Unknown,Unknown,Patrick Sullivan,Red,Red,Dry,Sangiovese Blend
750ml,2022,Patrick Sullivan Jumping Juice Half Full,Australia,Australia,Australia,Unknown,Unknown,Patrick Sullivan,Red,Red,Dry,Sangiovese Blend
750ml,2022,Penfolds Chardonnay Max's,"Australia, South Australia, Mount Lofty Ranges, Adelaide Hills",Australia,South Australia,Mount Lofty Ranges,Adelaide Hills,Penfolds,White,White,Dry,Chardonnay
750ml,2014,Perrier-Jouët Champagne Belle Epoque,"France, Champagne",France,Champagne,Unknown,Champagne,Perrier-Jouët,White - Sparkling,White,Sparkling,Champagne Blend
750ml,1001,Perrier-Jouët Champagne Blason de France,"France, Champagne",France,Champagne,Unknown,Champagne,Perrier-Jouët,Rosé - Sparkling,Rosé,Sparkling,Champagne Blend
750ml,1001,Perrier-Jouët Champagne Grand Brut,"France, Champagne",France,Champagne,Unknown,Champagne,Perrier-Jouët,White - Sparkling,White,Sparkling,Champagne Blend
750ml,1001,Pfeiffer Seriously Fine Pale Dry Apera,"Australia, Victoria, North East, Rutherglen",Australia,Victoria,North East,Rutherglen,Pfeiffer,White - Fortified,White,Fortified,Palomino Fino
